Gene	S21
BnaA01g05610D--BnaC01g00490D	291
BnaA01g05610D--BnaC01g00490D--BnaA06g40470D	3
BnaA01g05610D--BnaC01g00490D--BnaA06g40470D--BnaA06g40510D	13
BnaA01g05610D--BnaC01g00490D--BnaA06g40510D	2
BnaA01g05610D--BnaC01g00490D--BnaC03g76410D	15
BnaA01g05610D--BnaC03g76410D	12
BnaA01g05620D	13
BnaA01g05620D--BnaC01g00510D	12
BnaA01g05630D	10
BnaA01g05630D--BnaC01g00520D	1
BnaA01g05630D--BnaC01g00520D--BnaC01g00540D	1
BnaA01g05630D--BnaC01g00530D	1
BnaA01g05630D--BnaC01g00540D	7
BnaA01g05660D	378
BnaA01g05660D--BnaC01g00520D--BnaC01g00540D	11
BnaA01g05660D--BnaC01g00540D	140
BnaA01g05670D	777
BnaA01g05670D--BnaC01g00550D	392
BnaA01g05670D--BnaC01g00550D--BnaC03g76360D	41
BnaA01g05690D	121
BnaA01g05690D--BnaC01g00570D	52
BnaA01g05690D--BnaC01g00570D--BnaCnng62920D	1
BnaA01g05690D--BnaCnng62920D	4
BnaA01g05700D	1
BnaA01g05720D	30
BnaA01g05720D--BnaC01g00600D	41
BnaA01g05730D	7
BnaA01g05740D	1
BnaA01g05740D--BnaCnng17380D--BnaC03g76270D	1
BnaA01g05760D	11
BnaA01g05770D	4
BnaA01g05780D	39
BnaA01g05800D	24
BnaA01g05810D	33
BnaA01g05820D	56
BnaA01g05830D	62
BnaA01g05840D	838
BnaA01g05850D--BnaAnng15900D	1
BnaA01g05890D	19
BnaA01g05900D	91
BnaA01g05920D	543
BnaA01g05930D	28
BnaA01g05950D	88
BnaA01g05960D	39
BnaA01g05960D--BnaC03g67710D	3
BnaA01g05970D	2
BnaA01g05980D	39
BnaA01g05990D	118
BnaA01g06000D	44
BnaA01g06010D	310
BnaA01g06020D	280
BnaA01g06030D	23
BnaA01g06040D	37
BnaA01g06050D	1
BnaA01g06080D	3
BnaA01g06090D	3
BnaA01g06100D	107
BnaA01g06120D	19
BnaA01g06130D	16
BnaA01g06150D	1
BnaA01g06160D	39
BnaA01g06170D	88
BnaA01g06180D	2589
BnaA01g06190D	71
BnaA01g06210D	52
BnaA01g06220D	298
BnaA01g06230D	5
BnaA01g06240D	14
BnaA01g06250D	82
BnaA01g06270D	16
BnaA01g06290D	1
BnaA01g06310D	38
BnaA01g06330D	337
BnaA01g06340D	206
BnaA01g06350D	171
BnaA01g06370D	40
BnaA01g06370D--BnaAnng29890D	12
BnaA01g06380D	12
BnaA01g06380D--BnaAnng29900D	42
BnaA01g06390D	3
BnaA01g06390D--BnaA03g50480D	1
BnaA01g06410D	9
BnaA01g06410D--BnaAnng32430D	8
BnaA01g06420D	152
BnaA01g06430D	6
BnaA01g06430D--BnaAnng30640D	2
BnaA01g06440D	644
BnaA01g06440D--BnaA05g26280D	108
BnaA01g06450D	8
BnaA01g06450D--BnaA01g06370D	1
BnaA01g06460D	47
BnaA01g06460D--BnaA01g06380D	8
BnaA01g06460D--BnaA01g06380D--BnaAnng29900D	7
BnaA01g06460D--BnaA01g06390D	7
BnaA01g06470D	10
BnaA01g06490D	25
BnaA01g06500D	1
BnaA01g06520D	64
BnaA01g06530D	574
BnaA01g06540D	289
BnaA01g06570D	2
BnaA01g06570D--BnaA03g50210D	2
BnaA01g06600D	353
BnaA01g06610D	34
BnaA01g06610D--BnaA03g50170D	3
BnaA01g06610D--BnaC04g08650D--BnaA03g50170D	6
BnaA01g06610D--BnaCnng70410D	56
BnaA01g06620D	26
BnaA01g06640D	10
BnaA01g06660D	9
BnaA01g06670D	150
BnaA01g06680D	41
BnaA01g06690D	5
BnaA01g06700D	50
BnaA01g06710D	2
BnaA01g06740D	5
BnaA01g06750D	213
BnaA01g06760D	74
BnaA01g06760D--BnaA03g50040D	6
BnaA01g06770D	1
BnaA01g06780D	71
BnaA01g06790D	2
BnaA01g06800D	547
BnaA01g06800D--BnaAnng10960D	8
BnaA01g06810D	87
BnaA01g06820D	6378
BnaA01g06820D--BnaAnng10910D--BnaAnng23670D	1
BnaA01g06820D--BnaAnng23670D	4779
BnaA01g06830D	26
BnaA01g06830D--BnaCnng52220D	30
